Dim_01_id,value_dim01
Dim_01_120,3727973.5
Dim_01_121,3758687.44
Dim_01_122,3789401.38
Dim_01_123,3820115.32
Dim_01_124,3850829.26
Dim_01_125,3881543.2
Dim_01_126,3912257.14
Dim_01_127,3942971.08
Dim_01_128,3973685.02
Dim_01_129,4004398.96
Dim_01_130,4035112.9
Dim_01_131,4065826.85
Dim_01_132,4096540.79
Dim_01_133,4127254.73
Dim_01_134,4157968.67
Dim_01_135,4188682.61
Dim_01_136,4219396.55
Dim_01_137,4250110.49
Dim_01_138,4280824.43
Dim_01_139,4311538.37
Dim_01_140,4342252.31
Dim_01_141,4372966.25
Dim_01_142,4403680.19
Dim_01_143,4434394.13
Dim_01_144,4465108.07
Dim_01_145,4495822.01
Dim_01_146,4526535.95
Dim_01_147,4557249.89
Dim_01_148,4587963.83
Dim_01_149,4618677.77
Dim_01_150,4649391.71
Dim_01_151,4680105.65
Dim_01_152,4710819.6
Dim_01_153,4741533.54
Dim_01_154,4772247.48
Dim_01_155,4802961.42
Dim_01_156,4833675.36
Dim_01_157,4864389.3
Dim_01_158,4895103.24
Dim_01_159,4925817.18
Dim_01_160,4956531.12
Dim_01_161,4987245.06
Dim_01_162,5017959
Dim_01_163,5048672.94
Dim_01_164,5079386.88
Dim_01_165,5110100.82
Dim_01_166,5140814.76
Dim_01_167,5171528.7
Dim_01_168,5202242.64
Dim_01_169,5232956.58
Dim_01_170,5263670.52
Dim_01_171,5294384.46
Dim_01_172,5325098.4
Dim_01_173,5355812.35
Dim_01_174,5386526.29
Dim_01_175,5417240.23
Dim_01_176,5447954.17
Dim_01_177,5478668.11
Dim_01_178,5509382.05
Dim_01_179,5540095.99
Dim_01_180,5570809.93
Dim_01_181,5601523.87
Dim_01_182,5632237.81
Dim_01_183,5662951.75
Dim_01_184,5693665.69
Dim_01_185,5724379.63
Dim_01_186,5755093.57
Dim_01_187,5785807.51
Dim_01_188,5816521.45
Dim_01_189,5847235.39
Dim_01_190,5877949.33
Dim_01_191,5908663.27
Dim_01_192,5939377.21
Dim_01_193,5970091.15
Dim_01_194,6000805.1
Dim_01_195,6031519.04
Dim_01_196,6062232.98
Dim_01_197,6092946.92
Dim_01_198,6123660.86
Dim_01_199,6154374.8
Dim_01_200,6185088.74
Dim_01_201,6215802.68
Dim_01_202,6246516.62
Dim_01_203,6277230.56
Dim_01_204,6307944.5
Dim_01_205,6338658.44
Dim_01_206,6369372.38
Dim_01_207,6400086.32
Dim_01_208,6430800.26
Dim_01_209,6461514.2
Dim_01_210,6492228.14
Dim_01_211,6522942.08
Dim_01_212,6553656.02
Dim_01_213,6584369.96
Dim_01_214,6615083.9
Dim_01_215,6645797.85
Dim_01_216,6676511.79
Dim_01_217,6707225.73
Dim_01_218,6737939.67
Dim_01_219,6768653.61
Dim_01_220,6799367.55
Dim_01_221,6830081.49
Dim_01_222,6860795.43
Dim_01_223,6891509.37
Dim_01_224,6922223.31
Dim_01_225,6952937.25
Dim_01_226,6983651.19
Dim_01_227,7014365.13
Dim_01_228,7045079.07
Dim_01_229,7075793.01
Dim_01_230,7106506.95
Dim_01_231,7137220.89
Dim_01_232,7167934.83
Dim_01_233,7198648.77
Dim_01_234,7229362.71
Dim_01_235,7260076.65
Dim_01_236,7290790.6
Dim_01_237,7321504.54
Dim_01_238,7352218.48
Dim_01_239,7382932.42
Dim_01_240,7413646.36
Dim_01_241,7444360.3
Dim_01_242,7475074.24
Dim_01_243,7505788.18
Dim_01_244,7536502.12
Dim_01_245,7567216.06
Dim_01_246,7597930
Dim_01_247,7628643.94
Dim_01_248,7659357.88
Dim_01_249,7690071.82
Dim_01_250,7720785.76
Dim_01_251,7751499.7
Dim_01_252,7782213.64
Dim_01_253,7812927.58
Dim_01_254,7843641.52
Dim_01_255,7874355.46
Dim_01_256,7905069.4
Dim_01_257,7935783.35
Dim_01_258,7966497.29
Dim_01_259,7997211.23
Dim_01_260,8027925.17
Dim_01_261,8058639.11
Dim_01_262,8089353.05
Dim_01_263,8120066.99
Dim_01_264,8150780.93
Dim_01_265,8181494.87
Dim_01_266,8212208.81
Dim_01_267,8242922.75
Dim_01_268,8273636.69
Dim_01_269,8304350.63
Dim_01_270,8335064.57
Dim_01_271,8365778.51
Dim_01_272,8396492.45
Dim_01_273,8427206.39
Dim_01_274,8457920.33
Dim_01_275,8488634.27
Dim_01_276,8519348.21
Dim_01_277,8550062.15
Dim_01_278,8580776.1
Dim_01_279,8611490.04
Dim_01_280,8642203.98
Dim_01_281,8672917.92
Dim_01_282,8703631.86
Dim_01_283,8734345.8
Dim_01_284,8765059.74
Dim_01_285,8795773.68
Dim_01_286,8826487.62
Dim_01_287,8857201.56
Dim_01_288,8887915.5
Dim_01_289,8918629.44
Dim_01_290,8949343.38
Dim_01_291,8980057.32
Dim_01_292,9010771.26
Dim_01_293,9041485.2
Dim_01_294,9072199.14
Dim_01_295,9102913.08
Dim_01_296,9133627.02
Dim_01_297,9164340.96
Dim_01_298,9195054.9
Dim_01_299,9225768.85
Dim_01_300,9256482.79
Dim_01_301,9287196.73
Dim_01_302,9317910.67
Dim_01_303,9348624.61
Dim_01_304,9379338.55
Dim_01_305,9410052.49
Dim_01_306,9440766.43
Dim_01_307,9471480.37
Dim_01_308,9502194.31
Dim_01_309,9532908.25
Dim_01_310,9563622.19
Dim_01_311,9594336.13
Dim_01_312,9625050.07
Dim_01_313,9655764.01
Dim_01_314,9686477.95
Dim_01_315,9717191.89
Dim_01_316,9747905.83
Dim_01_317,9778619.77
Dim_01_318,9809333.71
Dim_01_319,9840047.65
Dim_01_320,9870761.6
Dim_01_321,9901475.54
Dim_01_322,9932189.48
Dim_01_323,9962903.42
Dim_01_324,9993617.36
Dim_01_325,10024331.3
Dim_01_326,10055045.24
Dim_01_327,10085759.18
Dim_01_328,10116473.12
Dim_01_329,10147187.06
Dim_01_330,10177901
Dim_01_331,10208614.94
Dim_01_332,10239328.88
Dim_01_333,10270042.82
Dim_01_334,10300756.76
Dim_01_335,10331470.7
Dim_01_336,10362184.64
Dim_01_337,10392898.58
Dim_01_338,10423612.52
Dim_01_339,10454326.46
Dim_01_340,10485040.4
Dim_01_341,10515754.35
Dim_01_342,10546468.29
Dim_01_343,10577182.23
Dim_01_344,10607896.17
Dim_01_345,10638610.11
Dim_01_346,10669324.05
Dim_01_347,10700037.99
Dim_01_348,10730751.93
Dim_01_349,10761465.87
Dim_01_350,10792179.81
Dim_01_351,10822893.75
Dim_01_352,10853607.69
Dim_01_353,10884321.63
Dim_01_354,10915035.57
Dim_01_355,10945749.51
Dim_01_356,10976463.45
Dim_01_357,11007177.39
Dim_01_358,11037891.33
Dim_01_359,11068605.27
Dim_01_360,11099319.21
Dim_01_361,11130033.15
Dim_01_362,11160747.1
Dim_01_363,11191461.04
Dim_01_364,11222174.98
Dim_01_365,11252888.92
Dim_01_366,11283602.86
Dim_01_367,11314316.8
Dim_01_368,11345030.74
Dim_01_369,11375744.68
Dim_01_370,11406458.62
Dim_01_371,11437172.56
Dim_01_372,11467886.5
Dim_01_373,11498600.44
Dim_01_374,11529314.38
Dim_01_375,11560028.32
Dim_01_376,11590742.26
Dim_01_377,11621456.2
Dim_01_378,11652170.14
Dim_01_379,11682884.08
Dim_01_380,11713598.02
Dim_01_381,11744311.96
Dim_01_382,11775025.9
Dim_01_383,11805739.85
Dim_01_384,11836453.79
Dim_01_385,11867167.73
Dim_01_386,11897881.67
Dim_01_387,11928595.61
Dim_01_388,11959309.55
Dim_01_389,11990023.49
Dim_01_390,12020737.43
Dim_01_391,12051451.37
Dim_01_392,12082165.31
Dim_01_393,12112879.25
Dim_01_394,12143593.19
Dim_01_395,12174307.13
Dim_01_396,12205021.07
Dim_01_397,12235735.01
Dim_01_398,12266448.95
Dim_01_399,12297162.89
Dim_01_400,12327876.83
Dim_01_401,12358590.77
Dim_01_402,12389304.71
Dim_01_403,12420018.65
Dim_01_404,12450732.6
Dim_01_405,12481446.54
Dim_01_406,12512160.48
Dim_01_407,12542874.42
Dim_01_408,12573588.36
Dim_01_409,12604302.3
Dim_01_410,12635016.24
Dim_01_411,12665730.18
Dim_01_412,12696444.12
Dim_01_413,12727158.06
Dim_01_414,12757872
Dim_01_415,12788585.94
Dim_01_416,12819299.88
Dim_01_417,12850013.82
Dim_01_418,12880727.76
Dim_01_419,12911441.7
Dim_01_420,12942155.64
Dim_01_421,12972869.58
Dim_01_422,13003583.52
Dim_01_423,13034297.46
Dim_01_424,13065011.4
Dim_01_425,13095725.35
Dim_01_426,13126439.29
Dim_01_427,13157153.23
Dim_01_428,13187867.17
Dim_01_429,13218581.11
Dim_01_430,13249295.05
Dim_01_431,13280008.99
Dim_01_432,13310722.93
Dim_01_433,13341436.87
Dim_01_434,13372150.81
Dim_01_435,13402864.75
Dim_01_436,13433578.69
Dim_01_437,13464292.63
Dim_01_438,13495006.57
Dim_01_439,13525720.51
Dim_01_440,13556434.45
Dim_01_441,13587148.39
Dim_01_442,13617862.33
Dim_01_443,13648576.27
Dim_01_444,13679290.21
Dim_01_445,13710004.15
Dim_01_446,13740718.1
Dim_01_447,13771432.04
Dim_01_448,13802145.98
Dim_01_449,13832859.92
Dim_01_450,13863573.86
Dim_01_451,13894287.8
Dim_01_452,13925001.74
Dim_01_453,13955715.68
Dim_01_454,13986429.62
Dim_01_455,14017143.56
Dim_01_456,14047857.5
Dim_01_457,14078571.44
Dim_01_458,14109285.38
Dim_01_459,14139999.32
Dim_01_460,14170713.26
Dim_01_461,14201427.2
Dim_01_462,14232141.14
Dim_01_463,14262855.08
Dim_01_464,14293569.02
Dim_01_465,14324282.96
Dim_01_466,14354996.9
Dim_01_467,14385710.85
Dim_01_468,14416424.79
Dim_01_469,14447138.73
Dim_01_470,14477852.67
Dim_01_471,14508566.61
Dim_01_472,14539280.55
Dim_01_473,14569994.49
Dim_01_474,14600708.43
Dim_01_475,14631422.37
Dim_01_476,14662136.31
Dim_01_477,14692850.25
Dim_01_478,14723564.19
Dim_01_479,14754278.13
Dim_01_480,14784992.07
Dim_01_481,14815706.01
Dim_01_482,14846419.95
Dim_01_483,14877133.89
Dim_01_484,14907847.83
Dim_01_485,14938561.77
Dim_01_486,14969275.71
Dim_01_487,14999989.65
Dim_01_488,15030703.6
Dim_01_489,15061417.54
Dim_01_490,15092131.48
Dim_01_491,15122845.42
Dim_01_492,15153559.36
Dim_01_493,15184273.3
Dim_01_494,15214987.24
Dim_01_495,15245701.18
Dim_01_496,15276415.12
Dim_01_497,15307129.06
Dim_01_498,15337843
Dim_01_499,15368556.94
Dim_01_500,15399270.88
Dim_01_501,15429984.82
Dim_01_502,15460698.76
Dim_01_503,15491412.7
Dim_01_504,15522126.64
Dim_01_505,15552840.58
Dim_01_506,15583554.52
Dim_01_507,15614268.46
Dim_01_508,15644982.4
Dim_01_509,15675696.35
Dim_01_510,15706410.29
Dim_01_511,15737124.23
Dim_01_512,15767838.17
Dim_01_513,15798552.11
Dim_01_514,15829266.05
Dim_01_515,15859979.99
Dim_01_516,15890693.93
Dim_01_517,15921407.87
Dim_01_518,15952121.81
Dim_01_519,15982835.75
Dim_01_520,16013549.69
Dim_01_521,16044263.63
Dim_01_522,16074977.57
Dim_01_523,16105691.51
Dim_01_524,16136405.45
Dim_01_525,16167119.39
Dim_01_526,16197833.33
Dim_01_527,16228547.27
Dim_01_528,16259261.21
Dim_01_529,16289975.15
Dim_01_530,16320689.1
Dim_01_531,16351403.04
Dim_01_532,16382116.98
Dim_01_533,16412830.92
Dim_01_534,16443544.86
Dim_01_535,16474258.8
Dim_01_536,16504972.74
Dim_01_537,16535686.68
Dim_01_538,16566400.62
Dim_01_539,16597114.56
Dim_01_540,16627828.5
Dim_01_541,16658542.44
Dim_01_542,16689256.38
Dim_01_543,16719970.32
Dim_01_544,16750684.26
Dim_01_545,16781398.2
Dim_01_546,16812112.14
Dim_01_547,16842826.08
Dim_01_548,16873540.02
Dim_01_549,16904253.96
Dim_01_550,16934967.9
Dim_01_551,16965681.85
Dim_01_552,16996395.79
Dim_01_553,17027109.73
Dim_01_554,17057823.67
Dim_01_555,17088537.61
Dim_01_556,17119251.55
Dim_01_557,17149965.49
Dim_01_558,17180679.43
Dim_01_559,17211393.37
Dim_01_560,17242107.31
Dim_01_561,17272821.25
Dim_01_562,17303535.19
Dim_01_563,17334249.13
Dim_01_564,17364963.07
Dim_01_565,17395677.01
Dim_01_566,17426390.95
Dim_01_567,17457104.89
Dim_01_568,17487818.83
Dim_01_569,17518532.77
Dim_01_570,17549246.71
Dim_01_571,17579960.65
Dim_01_572,17610674.6
Dim_01_573,17641388.54
Dim_01_574,17672102.48
Dim_01_575,17702816.42
Dim_01_576,17733530.36
Dim_01_577,17764244.3
Dim_01_578,17794958.24
Dim_01_579,17825672.18
Dim_01_580,17856386.12
Dim_01_581,17887100.06
Dim_01_582,17917814
Dim_01_583,17948527.94
Dim_01_584,17979241.88
Dim_01_585,18009955.82
Dim_01_586,18040669.76
Dim_01_587,18071383.7
Dim_01_588,18102097.64
Dim_01_589,18132811.58
Dim_01_590,18163525.52
Dim_01_591,18194239.46
Dim_01_592,18224953.4
Dim_01_593,18255667.35
Dim_01_594,18286381.29
Dim_01_595,18317095.23
Dim_01_596,18347809.17
Dim_01_597,18378523.11
Dim_01_598,18409237.05
Dim_01_599,18439950.99
Dim_01_600,18470664.93
Dim_01_601,18501378.87
Dim_01_602,18532092.81
Dim_01_603,18562806.75
Dim_01_604,18593520.69
Dim_01_605,18624234.63
Dim_01_606,18654948.57
Dim_01_607,18685662.51
Dim_01_608,18716376.45
Dim_01_609,18747090.39
Dim_01_610,18777804.33
Dim_01_611,18808518.27
Dim_01_612,18839232.21
Dim_01_613,18869946.15
Dim_01_614,18900660.1
Dim_01_615,18931374.04
Dim_01_616,18962087.98
Dim_01_617,18992801.92
Dim_01_618,19023515.86
Dim_01_619,19054229.8
Dim_01_620,19084943.74
Dim_01_621,19115657.68
Dim_01_622,19146371.62
Dim_01_623,19177085.56
Dim_01_624,19207799.5
Dim_01_625,19238513.44
Dim_01_626,19269227.38
Dim_01_627,19299941.32
Dim_01_628,19330655.26
Dim_01_629,19361369.2
Dim_01_630,19392083.14
Dim_01_631,19422797.08
Dim_01_632,19453511.02
Dim_01_633,19484224.96
Dim_01_634,19514938.9
Dim_01_635,19545652.85
Dim_01_636,19576366.79
Dim_01_637,19607080.73
Dim_01_638,19637794.67
Dim_01_639,19668508.61
Dim_01_640,19699222.55
Dim_01_641,19729936.49
Dim_01_642,19760650.43
Dim_01_643,19791364.37
Dim_01_644,19822078.31
Dim_01_645,19852792.25
Dim_01_646,19883506.19
Dim_01_647,19914220.13
Dim_01_648,19944934.07
Dim_01_649,19975648.01
Dim_01_650,20006361.95
Dim_01_651,20037075.89
Dim_01_652,20067789.83
Dim_01_653,20098503.77
Dim_01_654,20129217.71
Dim_01_655,20159931.65
Dim_01_656,20190645.6
Dim_01_657,20221359.54
Dim_01_658,20252073.48
Dim_01_659,20282787.42
Dim_01_660,20313501.36
Dim_01_661,20344215.3
Dim_01_662,20374929.24
Dim_01_663,20405643.18
Dim_01_664,20436357.12
Dim_01_665,20467071.06
Dim_01_666,20497785
Dim_01_667,20528498.94
Dim_01_668,20559212.88
Dim_01_669,20589926.82
Dim_01_670,20620640.76
Dim_01_671,20651354.7
Dim_01_672,20682068.64
Dim_01_673,20712782.58
Dim_01_674,20743496.52
Dim_01_675,20774210.46
Dim_01_676,20804924.4
Dim_01_677,20835638.35
Dim_01_678,20866352.29
Dim_01_679,20897066.23
Dim_01_680,20927780.17
Dim_01_681,20958494.11
Dim_01_682,20989208.05
Dim_01_683,21019921.99
Dim_01_684,21050635.93
Dim_01_685,21081349.87
Dim_01_686,21112063.81
Dim_01_687,21142777.75
Dim_01_688,21173491.69
Dim_01_689,21204205.63
Dim_01_690,21234919.57
Dim_01_691,21265633.51
Dim_01_692,21296347.45
Dim_01_693,21327061.39
Dim_01_694,21357775.33
Dim_01_695,21388489.27
Dim_01_696,21419203.21
Dim_01_697,21449917.15
Dim_01_698,21480631.1
Dim_01_699,21511345.04
Dim_01_700,21542058.98
Dim_01_701,21572772.92
Dim_01_702,21603486.86
Dim_01_703,21634200.8
Dim_01_704,21664914.74
Dim_01_705,21695628.68
Dim_01_706,21726342.62
Dim_01_707,21757056.56
Dim_01_708,21787770.5
Dim_01_709,21818484.44
Dim_01_710,21849198.38
Dim_01_711,21879912.32
Dim_01_712,21910626.26
Dim_01_713,21941340.2
Dim_01_714,21972054.14
Dim_01_715,22002768.08
Dim_01_716,22033482.02
Dim_01_717,22064195.96
Dim_01_718,22094909.9
Dim_01_719,22125623.85
Dim_01_720,22156337.79
Dim_01_721,22187051.73
Dim_01_722,22217765.67
Dim_01_723,22248479.61
Dim_01_724,22279193.55
Dim_01_725,22309907.49
Dim_01_726,22340621.43
Dim_01_727,22371335.37
Dim_01_728,22402049.31
Dim_01_729,22432763.25
Dim_01_730,22463477.19
Dim_01_731,22494191.13
Dim_01_732,22524905.07
Dim_01_733,22555619.01
Dim_01_734,22586332.95
Dim_01_735,22617046.89
Dim_01_736,22647760.83
Dim_01_737,22678474.77
Dim_01_738,22709188.71
Dim_01_739,22739902.65
Dim_01_740,22770616.6
Dim_01_741,22801330.54
Dim_01_742,22832044.48
Dim_01_743,22862758.42
Dim_01_744,22893472.36
Dim_01_745,22924186.3
Dim_01_746,22954900.24
Dim_01_747,22985614.18
Dim_01_748,23016328.12
Dim_01_749,23047042.06
Dim_01_750,23077756
Dim_01_751,23108469.94
Dim_01_752,23139183.88
Dim_01_753,23169897.82
Dim_01_754,23200611.76
Dim_01_755,23231325.7
Dim_01_756,23262039.64
Dim_01_757,23292753.58
Dim_01_758,23323467.52
Dim_01_759,23354181.46
Dim_01_760,23384895.4
Dim_01_761,23415609.35
Dim_01_762,23446323.29
Dim_01_763,23477037.23
Dim_01_764,23507751.17
Dim_01_765,23538465.11
Dim_01_766,23569179.05
Dim_01_767,23599892.99
Dim_01_768,23630606.93
Dim_01_769,23661320.87
Dim_01_770,23692034.81
Dim_01_771,23722748.75
Dim_01_772,23753462.69
Dim_01_773,23784176.63
Dim_01_774,23814890.57
Dim_01_775,23845604.51
Dim_01_776,23876318.45
Dim_01_777,23907032.39
Dim_01_778,23937746.33
Dim_01_779,23968460.27
Dim_01_780,23999174.21
Dim_01_781,24029888.15
Dim_01_782,24060602.1
Dim_01_783,24091316.04
Dim_01_784,24122029.98
Dim_01_785,24152743.92
Dim_01_786,24183457.86
Dim_01_787,24214171.8
Dim_01_788,24244885.74
Dim_01_789,24275599.68
Dim_01_790,24306313.62
Dim_01_791,24337027.56
Dim_01_792,24367741.5
Dim_01_793,24398455.44
Dim_01_794,24429169.38
Dim_01_795,24459883.32
Dim_01_796,24490597.26
Dim_01_797,24521311.2
Dim_01_798,24552025.14
Dim_01_799,24582739.08
Dim_01_800,24613453.02
Dim_01_801,24644166.96
Dim_01_802,24674880.9
Dim_01_803,24705594.85
Dim_01_804,24736308.79
Dim_01_805,24767022.73
Dim_01_806,24797736.67
Dim_01_807,24828450.61
Dim_01_808,24859164.55
Dim_01_809,24889878.49
Dim_01_810,24920592.43
Dim_01_811,24951306.37
Dim_01_812,24982020.31
Dim_01_813,25012734.25
Dim_01_814,25043448.19
Dim_01_815,25074162.13
Dim_01_816,25104876.07
Dim_01_817,25135590.01
Dim_01_818,25166303.95
Dim_01_819,25197017.89
Dim_01_820,25227731.83
Dim_01_821,25258445.77
Dim_01_822,25289159.71
Dim_01_823,25319873.65
Dim_01_824,25350587.6
Dim_01_825,25381301.54
Dim_01_826,25412015.48
Dim_01_827,25442729.42
Dim_01_828,25473443.36
Dim_01_829,25504157.3
Dim_01_830,25534871.24
Dim_01_831,25565585.18
Dim_01_832,25596299.12
Dim_01_833,25627013.06
Dim_01_834,25657727
Dim_01_835,25688440.94
Dim_01_836,25719154.88
Dim_01_837,25749868.82
Dim_01_838,25780582.76
Dim_01_839,25811296.7
Dim_01_840,25842010.64
Dim_01_841,25872724.58
Dim_01_842,25903438.52
Dim_01_843,25934152.46
Dim_01_844,25964866.4
Dim_01_845,25995580.35
Dim_01_846,26026294.29
Dim_01_847,26057008.23
Dim_01_848,26087722.17
Dim_01_849,26118436.11
Dim_01_850,26149150.05
Dim_01_851,26179863.99
Dim_01_852,26210577.93
Dim_01_853,26241291.87
Dim_01_854,26272005.81
Dim_01_855,26302719.75
Dim_01_856,26333433.69
Dim_01_857,26364147.63
Dim_01_858,26394861.57
Dim_01_859,26425575.51
Dim_01_860,26456289.45
Dim_01_861,26487003.39
Dim_01_862,26517717.33
Dim_01_863,26548431.27
Dim_01_864,26579145.21
Dim_01_865,26609859.15
Dim_01_866,26640573.1
Dim_01_867,26671287.04
Dim_01_868,26702000.98
Dim_01_869,26732714.92
Dim_01_870,26763428.86
Dim_01_871,26794142.8
Dim_01_872,26824856.74
Dim_01_873,26855570.68
Dim_01_874,26886284.62
Dim_01_875,26916998.56
Dim_01_876,26947712.5
Dim_01_877,26978426.44
Dim_01_878,27009140.38
Dim_01_879,27039854.32
Dim_01_880,27070568.26
Dim_01_881,27101282.2
Dim_01_882,27131996.14
Dim_01_883,27162710.08
Dim_01_884,27193424.02
Dim_01_885,27224137.96
Dim_01_886,27254851.9
Dim_01_887,27285565.85
Dim_01_888,27316279.79
Dim_01_889,27346993.73
Dim_01_890,27377707.67
Dim_01_891,27408421.61
Dim_01_892,27439135.55
Dim_01_893,27469849.49
Dim_01_894,27500563.43
Dim_01_895,27531277.37
Dim_01_896,27561991.31
Dim_01_897,27592705.25
Dim_01_898,27623419.19
Dim_01_899,27654133.13
Dim_01_900,27684847.07
Dim_01_901,27715561.01
Dim_01_902,27746274.95
Dim_01_903,27776988.89
Dim_01_904,27807702.83
Dim_01_905,27838416.77
Dim_01_906,27869130.71
Dim_01_907,27899844.65
Dim_01_908,27930558.6
Dim_01_909,27961272.54
Dim_01_910,27991986.48
Dim_01_911,28022700.42
Dim_01_912,28053414.36
Dim_01_913,28084128.3
Dim_01_914,28114842.24
Dim_01_915,28145556.18
Dim_01_916,28176270.12
Dim_01_917,28206984.06
Dim_01_918,28237698
Dim_01_919,28268411.94
Dim_01_920,28299125.88
Dim_01_921,28329839.82
Dim_01_922,28360553.76
Dim_01_923,28391267.7
Dim_01_924,28421981.64
Dim_01_925,28452695.58
Dim_01_926,28483409.52
Dim_01_927,28514123.46
Dim_01_928,28544837.4
Dim_01_929,28575551.35
Dim_01_930,28606265.29
Dim_01_931,28636979.23
Dim_01_932,28667693.17
Dim_01_933,28698407.11
Dim_01_934,28729121.05
Dim_01_935,28759834.99
Dim_01_936,28790548.93
Dim_01_937,28821262.87
Dim_01_938,28851976.81
Dim_01_939,28882690.75
Dim_01_940,28913404.69
Dim_01_941,28944118.63
Dim_01_942,28974832.57
Dim_01_943,29005546.51
Dim_01_944,29036260.45
Dim_01_945,29066974.39
Dim_01_946,29097688.33
Dim_01_947,29128402.27
Dim_01_948,29159116.21
Dim_01_949,29189830.15
Dim_01_950,29220544.1
Dim_01_951,29251258.04
Dim_01_952,29281971.98
Dim_01_953,29312685.92
Dim_01_954,29343399.86
Dim_01_955,29374113.8
Dim_01_956,29404827.74
Dim_01_957,29435541.68
Dim_01_958,29466255.62
Dim_01_959,29496969.56
Dim_01_960,29527683.5
Dim_01_961,29558397.44
Dim_01_962,29589111.38
Dim_01_963,29619825.32
Dim_01_964,29650539.26
Dim_01_965,29681253.2
Dim_01_966,29711967.14
Dim_01_967,29742681.08
Dim_01_968,29773395.02
Dim_01_969,29804108.96
Dim_01_970,29834822.9
Dim_01_971,29865536.85
Dim_01_972,29896250.79
Dim_01_973,29926964.73
Dim_01_974,29957678.67
Dim_01_975,29988392.61
Dim_01_976,30019106.55
Dim_01_977,30049820.49
Dim_01_978,30080534.43
Dim_01_979,30111248.37
Dim_01_980,30141962.31
Dim_01_981,30172676.25
Dim_01_982,30203390.19
Dim_01_983,30234104.13
Dim_01_984,30264818.07
Dim_01_985,30295532.01
Dim_01_986,30326245.95
Dim_01_987,30356959.89
Dim_01_988,30387673.83
Dim_01_989,30418387.77
Dim_01_990,30449101.71
Dim_01_991,30479815.65
Dim_01_992,30510529.6
Dim_01_993,30541243.54
Dim_01_994,30571957.48
Dim_01_995,30602671.42
Dim_01_996,30633385.36
Dim_01_997,30664099.3
Dim_01_998,30694813.24
Dim_01_999,30725527.18
Dim_01_1000,30756241.12
Dim_01_1001,30786955.06
Dim_01_1002,30817669
